Music (todo)
=============

> A list of albums/artists I would like to listen to.

|------------+---+------------------------------------------+-----------------------------------+----------------------------|
| Date Added |   |                                   Artist | Song/Album/Whatever               | Source                     |
| 2021.07.02 | ✓ |                             Mimi Gilbert | Society's a Mansion               | Spotify DW                 |
| 2021.07.02 |   |                                     Jape | To the Sea                        | Plex                       |
| 2021.07.02 |   |                               San Fermin | Oceanica                          | Plex                       |
| 2021.07.04 |   |                            Julia Jacklin | Don't Know How Keep Loving You    | YouTube                    |
| 2021.07.04 |   |                                  #1 Dads | Freedon Fighter                   | Spotify DW                 |
| 2021.07.04 |   |          Teen Jesus and the Jean Teasers | Desk Chair                        | Spotify DW                 |
| 2021.07.04 |   |                           Fly My Preties | Quiet Girl                        | Spotify DW                 |
| 2021.07.05 |   |                                Ruby Gill | Your Mum                          | Spotify DW                 |
| 2021.07.05 |   |                               Dan Sultan | Southern Sun                      | Spotify DW                 |
| 2021.07.05 |   |                           Art vs Science | Enter Sandman                     | Spotify DW                 |
| 2021.07.05 | ✓ |                                     Bugs | Charlie                           | Spotify DW                 |
| 2021.07.05 | ✓ |                              Thelma Plum | Homecoming Queen                  | Spotify DW                 |
| 2021.07.12 | ✓ |                                Sea Girls | Daisy Daisy                       | Spotify DW                 |
| 2021.07.15 | ✓ |                       Madison Cunningham | Song In My Head                   | Spotify DW                 |
| 2021.07.15 | ✓ |                        The Moving Stills | Stick Around                      | Spotify DW                 |
| 2021.07.15 | ✓ |                                 Flipturn | August (Acoustic)                 | Spotify DW                 |
| 2021.07.15 | ✓ |                             Kitschen Boy | Life in Lo-Fi                     | Spotify DW                 |
| 2021.07.15 | ✓ |                           Toby Sebastian | Train to Mexico                   | Spotify DW                 |
| 2021.07.15 | ✓ |                      Bombay Bicycle Club | Good Day                          | Spotify DW                 |
| 2021.07.15 | ✓ |                            Reina del Cid | Bernadette                        | Spotify DW                 |
| 2021.07.15 | ✓ |                                The Rions | Sadie                             | Spotify DW                 |
| 2021.07.15 | ✓ |                               Halloweens | Hannah, You're Amazing            | Spotify DW                 |
| 2021.07.16 | ✓ |                               Paul Kelly | Deeper Water                      | Spotify DW                 |
| 2021.07.16 | ✓ |                                 Flipturn | Something You Needed              | Spotify DW                 |
| 2021.07.16 | ✓ |                             Johnny Flynn | Tickle Me Pink                    | Spotify                    |
| 2021.07.16 | ✓ |                                  Dr. Dog | Nellie                            | Spotify                    |
| 2021.07.16 | ✓ |                                Foy Vance | She Burns                         | Spotify                    |
| 2021.07.23 | . |                                Grouplove | Wildflowers                       | Spotify DW                 |
| 2021.07.23 | . |                             Tia Gostelow | Giants                            | Spotify DW                 |
| 2021.07.23 | . |                              Red Red Rum | Eleanor                           | Spotify DW                 |
| 2021.07.23 | ✓ |                Pirates (Band of Misfits) | Sound Track                       | Movie Night                |
| 2021.07.24 | . |                                Unwritten | Maddy Jane                        | Spotify DW                 |
| 2021.07.24 | . |                                   Hope D | Swim                              | Spotify DW                 |
| 2021.07.24 | . |                           Up On The Moon | Sunship Balloon                   | Spotify DW                 |
| 2021.07.30 | . |                                Cory Wong | Meditation                        | Spotify DW                 |
| 2021.07.30 | ✓ |                         The Technicolors | Space Cadet                       | Spotify DW                 |
| 2021.08.02 |   |                                Peach Pit | Shampoo Bottles                   | Spotify DW                 |
| 2021.08.02 |   |                         Woody and Jeremy | Be There                          | Spotify DW                 |
| 2021.08.02 |   |                                   TOLEDO | Crane Song                        | Spotify DW                 |
| 2021.08.02 |   |                   Good Luck Finding Iris | Christopher Robin                 | Spotify DW                 |
| 2021.08.02 |   |                                Ezra Bell | May the Road                      | Spotify DW                 |
| 2021.08.02 | . |                                   brazos | Day Glo                           | Spotify DW                 |
| 2021.08.02 | . |                              moonweather | Burn Me                           | Spotify DW                 |
| 2021.08.02 |   |                            the oh hellos | Exeunt                            | Spotify DW                 |
| 2021.08.02 |   |                                 Girlyboi | Stevie Knicks                     | Spotify DW                 |
| 2021.08.02 |   |                                   Kiltro | Ofella                            | Spotify DW                 |
| 2021.08.02 |   |                               The Ninjas | Morphine                          | Spotify DW                 |
| 2021.08.03 |   | Walter Mitty and his Makeshift Orchestra | Chamomile                         | Spotify DW                 |
| 2021.08.03 |   |                                 Devarrow | 1984                              | Spotify DW                 |
| 2021.08.05 |   |                                Mako Road | Stranger Days                     | Mack Delaney               |
| 2021.08.08 |   |                                 My Maria | BW Stevenson                      | Macklemore - American      |
| 2021.08.08 |   |                                  Arkells | High Noon                         | My Library                 |
| 2021.08.08 |   |                              Labi Siffre | I got the                         | Eminem                     |
| 2021.08.09 |   |      Lue zersch wohär dass dr Wind wääit | Züri West                         | Peter at Le Cafe in Picton |
| 2021.08.13 |   |                       Shaky in the Knees | Grizfolk                          | Spotify DW                 |
| 2021.08.13 |   |                        Take Me Down Easy | James Henry Jr                    | Spotify DW                 |
| 2021.08.13 |   |                            Stelth Ulvang | Denim                             | Spotify DW                 |
| 2021.08.28 |   |                           Private Island | Dissolve                          | Spotify DW                 |
| 2021.08.28 | ✓ |                            Harry Nilsson | The Point                         | Mr. Corman                 |
| 2021.08.30 |   |                   Circles Around The Sun | Money's No Option                 | Spotify DW                 |
| 2021.08.30 |   |                                  The Dip | Angel de los Muertos              | Spotify DW                 |
| 2021.08.30 |   |                                  Parcels | Bemyself                          | Spotify DW                 |
| 2021.08.30 |   |                            Arc De Soleil | Got Caught in Amsterdam           | Spotify DW                 |
| 2021.08.30 |   |                       Kenni and the Jets | The Fearless Flyers               | Spotify DW                 |
| 2021.08.30 |   |                                Shoos Off | Song for Radio                    | Spotify DW                 |
|------------+---+------------------------------------------+-----------------------------------+----------------------------|
